,bitcoin_cash_MAvg_Close,bitcoin_MAvg_Close,bitconnect_MAvg_Close,dash_MAvg_Close,ethereum_MAvg_Close,ethereum_classic_MAvg_Close,iota_MAvg_Close,litecoin_MAvg_Close,monero_MAvg_Close,nem_MAvg_Close,neo_MAvg_Close,numeraire_MAvg_Close,omisego_MAvg_Close,qtum_MAvg_Close,ripple_MAvg_Close,stratis_MAvg_Close,waves_MAvg_Close
75,359.1,4309.5,138.6,305.9,299.0,12.1,0.5,51.7,91.2,0.2,32.3,14.3,8.7,11.7,0.2,3.6,4.9
76,359.8,4375.4,141.7,307.6,305.2,12.2,0.5,52.1,91.6,0.2,34.0,14.6,8.7,11.8,0.2,3.7,5.0
77,355.3,4469.4,144.8,306.6,309.4,12.2,0.5,52.6,90.9,0.2,33.9,13.9,8.3,11.6,0.3,3.7,4.8
78,339.1,4603.1,150.4,298.9,305.7,12.0,0.5,52.0,89.0,0.2,32.4,12.8,7.9,11.7,0.3,3.6,4.5
79,326.0,4721.5,156.1,292.5,302.0,11.7,0.5,51.3,87.4,0.2,30.2,11.7,7.8,11.8,0.3,3.4,4.2
80,316.9,4793.5,162.2,291.1,300.2,11.5,0.5,50.6,86.6,0.2,29.5,11.8,8.3,12.1,0.3,3.4,4.1
81,316.6,5018.5,172.0,293.9,302.5,11.7,0.5,53.9,87.1,0.2,29.1,12.0,8.5,11.8,0.3,3.3,4.0
82,316.5,5306.9,183.8,300.2,315.5,11.9,0.4,56.8,89.9,0.2,29.2,12.1,8.6,11.6,0.3,3.3,3.9
83,318.9,5642.0,194.8,306.3,327.5,12.1,0.4,61.2,94.1,0.2,28.4,11.8,8.2,11.1,0.3,3.0,3.9
84,319.5,5719.1,196.5,312.2,338.3,12.1,0.4,62.9,96.7,0.2,28.3,11.4,8.1,10.8,0.3,3.0,3.9
85,316.9,5745.2,197.5,309.5,336.5,12.0,0.4,64.7,97.0,0.2,28.0,11.5,7.9,10.9,0.3,2.9,3.9
86,333.4,5669.8,195.5,303.9,329.0,11.9,0.5,63.2,94.0,0.2,29.2,12.3,7.9,11.3,0.3,3.0,3.9
87,341.5,5640.6,196.3,299.8,321.6,11.8,0.5,61.6,92.2,0.2,29.9,13.5,7.9,11.7,0.2,3.1,4.0
88,347.2,5634.9,196.4,297.5,313.2,11.6,0.5,60.0,89.8,0.2,29.9,14.2,7.9,11.9,0.2,3.1,4.0
89,332.5,5770.2,202.9,294.0,308.8,11.4,0.4,60.3,89.6,0.2,28.7,14.4,7.7,11.6,0.2,3.1,3.9
90,327.2,5917.2,207.9,287.5,304.1,11.2,0.4,59.4,89.1,0.2,27.8,13.8,7.5,11.4,0.2,3.0,3.7
91,327.5,6017.2,209.6,280.9,299.9,11.0,0.4,58.4,88.4,0.2,27.9,13.0,7.4,10.9,0.2,3.0,3.6
92,323.5,5990.1,204.7,279.3,294.2,10.7,0.4,56.6,86.6,0.2,27.8,12.2,7.5,10.5,0.2,3.2,3.6
93,324.7,5821.8,199.1,284.4,293.6,10.6,0.4,55.9,86.7,0.2,28.8,12.3,7.8,10.4,0.2,3.5,3.7
94,324.9,5735.9,199.5,288.9,294.4,10.5,0.4,55.8,87.2,0.2,28.7,12.5,7.8,10.5,0.2,4.1,3.7
95,332.4,5727.4,205.5,289.5,297.6,10.6,0.4,56.1,88.4,0.2,29.0,12.6,7.8,10.7,0.2,4.4,3.7
96,346.0,5812.2,211.8,285.2,297.3,10.5,0.4,55.9,87.8,0.2,28.5,12.3,7.6,10.5,0.2,4.6,3.6
97,376.4,5812.9,213.7,280.8,296.7,10.5,0.4,55.3,87.2,0.2,28.1,12.2,7.4,10.4,0.2,4.4,3.5
98,414.3,5895.9,217.2,280.0,299.6,10.6,0.4,55.7,87.2,0.2,28.0,12.0,7.3,10.3,0.2,4.2,3.5
99,441.2,6012.5,222.4,281.9,303.0,10.8,0.4,56.1,87.9,0.2,28.0,12.2,7.2,10.3,0.2,4.1,3.5
100,446.4,6250.9,231.6,283.0,306.2,10.8,0.4,56.4,88.4,0.2,28.3,12.0,7.1,10.4,0.2,3.7,3.4
101,473.0,6455.4,239.5,278.9,301.8,10.6,0.4,55.1,87.4,0.2,28.0,11.7,6.7,10.3,0.2,3.4,3.2
102,519.4,6771.4,251.2,272.0,295.0,10.4,0.4,54.6,85.7,0.2,26.6,10.6,6.4,10.1,0.2,3.1,3.1
103,581.5,7017.9,261.8,271.8,294.9,11.1,0.4,54.7,85.8,0.2,26.1,10.9,6.3,10.0,0.2,3.0,3.3
104,611.0,7222.1,271.0,272.9,297.9,11.6,0.4,55.3,86.3,0.2,25.9,11.2,6.5,10.1,0.2,3.0,3.5
105,625.5,7331.7,275.4,275.5,300.8,12.6,0.4,55.3,87.2,0.2,26.6,11.6,6.5,10.2,0.2,3.1,3.6
106,617.9,7270.0,271.6,274.5,298.5,13.2,0.4,55.0,92.2,0.2,26.4,11.1,6.4,10.2,0.2,3.0,3.5
107,616.6,7191.5,269.1,280.7,296.6,13.8,0.4,57.1,96.3,0.2,26.3,10.8,6.4,10.6,0.2,3.0,3.6
108,613.8,7208.9,272.2,295.1,300.9,14.1,0.4,59.7,105.3,0.2,27.7,10.9,6.8,11.2,0.2,3.2,3.9
109,631.0,7249.2,276.8,311.9,308.2,14.0,0.5,62.7,111.3,0.2,29.6,11.3,7.4,11.7,0.2,3.4,4.4
